firstname;lastname;username;email;course1;group1;role1;idnumber;password
Lorena;Campos;07681883509;lorena_campos88@hotmail.com;jogos_digital;;5;07681883509;Mud@r123
Gabriel;Rodrigues;03645563822;gabriel_rodrigues71@outlook.com;jogos_digital;;5;03645563822;Mud@r123
Beatriz;Ribeiro Gomes;20551543116;beatriz_ribeiro87@hotmail.com;jogos_digital;;5;20551543116;Mud@r123
Felipe;Soares;95109931232;felipe_soares96@hotmail.com;jogos_digital;;5;95109931232;Mud@r123
Amanda;Martins Gomes;14487931657;amanda_martins76@hotmail.com;jogos_digital;;5;14487931657;Mud@r123
Clara;Araujo;46984195659;clara_araujo97@hotmail.com;jogos_digital;;5;46984195659;Mud@r123
Samuel;Barbosa;49163755726;samuel_barbosa89@gmail.com;jogos_digital;;5;49163755726;Mud@r123
Larissa;Nunes;71156379032;larissa_nunes30@hotmail.com;jogos_digital;;5;71156379032;Mud@r123
Lorena;Carneiro Martins;64236741407;lorena_carneiro31@hotmail.com;jogos_digital;;5;64236741407;Mud@r123
Ana;Melo Cardoso;46735372034;ana_melo17@gmail.com;jogos_digital;;5;46735372034;Mud@r123
Marcos;Barbosa Ferreira;46423479178;marcos_barbosa41@outlook.com;jogos_digital;;5;46423479178;Mud@r123
Daniel;Santos Andrade;47823468913;daniel_santos46@hotmail.com;jogos_digital;;5;47823468913;Mud@r123
Bianca;Andrade;08366222861;bianca_andrade40@hotmail.com;jogos_digital;;5;08366222861;Mud@r123
Alice;Cardoso;97534951100;alice_cardoso12@outlook.com;jogos_digital;;5;97534951100;Mud@r123
Fernanda;Alves Rodrigues;03985667632;fernanda_alves24@hotmail.com;jogos_digital;;5;03985667632;Mud@r123
Eduardo;Souza Pereira;20493651799;eduardo_souza22@gmail.com;jogos_digital;;5;20493651799;Mud@r123
Samuel;Nascimento Barbosa;09009623726;samuel_nascimento73@gmail.com;jogos_digital;;5;09009623726;Mud@r123
João;Nunes Souza;10862324106;joao_nunes40@hotmail.com;jogos_digital;;5;10862324106;Mud@r123
Bruno;Andrade Santos;27770650470;bruno_andrade10@hotmail.com;jogos_digital;;5;27770650470;Mud@r123
Eduardo;Borges;64065512140;eduardo_borges83@yahoo.com.br;jogos_digital;;5;64065512140;Mud@r123
Lucas;Martins;95073627385;lucas_martins22@gmail.com;jogos_digital;;5;95073627385;Mud@r123
Eduardo;Nunes Alves;95667906279;eduardo_nunes21@hotmail.com;jogos_digital;;5;95667906279;Mud@r123
Matheus;Soares;22786171849;matheus_soares63@yahoo.com.br;jogos_digital;;5;22786171849;Mud@r123
Bruna;Rocha;77709526624;bruna_rocha25@outlook.com;jogos_digital;;5;77709526624;Mud@r123
Vinicius;Moreira;32888956683;vinicius_moreira44@outlook.com;jogos_digital;;5;32888956683;Mud@r123
Amanda;Ferreira Cardoso;81238714650;amanda_ferreira68@hotmail.com;jogos_digital;;5;81238714650;Mud@r123
Rodrigo;Andrade;52840713950;rodrigo_andrade96@gmail.com;jogos_digital;;5;52840713950;Mud@r123
Murilo;Carvalho;37299119102;murilo_carvalho69@gmail.com;jogos_digital;;5;37299119102;Mud@r123
Heitor;Rodrigues Campos;75900429431;heitor_rodrigues91@hotmail.com;jogos_digital;;5;75900429431;Mud@r123
Beatriz;Gomes Oliveira;35507136815;beatriz_gomes86@hotmail.com;jogos_digital;;5;35507136815;Mud@r123
Laura;Soares;90627693814;laura_soares97@hotmail.com;jogos_digital;;5;90627693814;Mud@r123
Jessica;Costa;19653313517;jessica_costa67@gmail.com;jogos_digital;;5;19653313517;Mud@r123
Thiago;Nascimento Gomes;65712714434;thiago_nascimento82@outlook.com;jogos_digital;;5;65712714434;Mud@r123
Jessica;Santos;07198290035;jessica_santos63@yahoo.com.br;jogos_digital;;5;07198290035;Mud@r123
Pedro;Martins;53256190200;pedro_martins19@gmail.com;jogos_digital;;5;53256190200;Mud@r123
Heitor;Teixeira;05264409536;heitor_teixeira61@hotmail.com;jogos_digital;;5;05264409536;Mud@r123
Vitor;Pereira Dias;94489720750;vitor_pereira67@yahoo.com.br;jogos_digital;;5;94489720750;Mud@r123
Bernardo;Cardoso Pinto;02525235045;bernardo_cardoso85@hotmail.com;jogos_digital;;5;02525235045;Mud@r123
Gustavo;Rodrigues Vieira;92645396542;gustavo_rodrigues52@hotmail.com;jogos_digital;;5;92645396542;Mud@r123
Bruna;Pinto;06516522782;bruna_pinto48@outlook.com;jogos_digital;;5;06516522782;Mud@r123
Rafael;Freitas Castro;53034980345;rafael_freitas24@hotmail.com;jogos_digital;;5;53034980345;Mud@r123
Henrique;Lopes Andrade;26380563245;henrique_lopes46@gmail.com;jogos_digital;;5;26380563245;Mud@r123
Rafael;Cardoso Martins;18923510130;rafael_cardoso35@outlook.com;jogos_digital;;5;18923510130;Mud@r123
Sophia;Carneiro;15052858361;sophia_carneiro89@hotmail.com;jogos_digital;;5;15052858361;Mud@r123
Amanda;Cardoso Araujo;62123754617;amanda_cardoso65@outlook.com;jogos_digital;;5;62123754617;Mud@r123
Sarah;Carvalho Barbosa;26904487267;sarah_carvalho16@yahoo.com.br;jogos_digital;;5;26904487267;Mud@r123
Maria;Carvalho Alves;61764441281;maria_carvalho70@outlook.com;jogos_digital;;5;61764441281;Mud@r123
Isabella;Pinto;94032839719;isabella_pinto69@hotmail.com;jogos_digital;;5;94032839719;Mud@r123
Bernardo;Freitas;79651896230;bernardo_freitas92@gmail.com;jogos_digital;;5;79651896230;Mud@r123
Samuel;Teixeira Nascimento;34396233434;samuel_teixeira28@gmail.com;jogos_digital;;5;34396233434;Mud@r123
Mariana;Nunes Lima;94720648177;mariana_nunes61@outlook.com;jogos_digital;;5;94720648177;Mud@r123
Arthur;Pinto Lima;28213382609;arthur_pinto81@gmail.com;jogos_digital;;5;28213382609;Mud@r123
Manuela;Fernandes;98994023976;manuela_fernandes19@hotmail.com;jogos_digital;;5;98994023976;Mud@r123
Mariana;Lima Vieira;28925764660;mariana_lima25@outlook.com;jogos_digital;;5;28925764660;Mud@r123
Ana;Melo Machado;14120214990;ana_melo40@hotmail.com;jogos_digital;;5;14120214990;Mud@r123
Manuela;Pinto Cardoso;40361511183;manuela_pinto41@yahoo.com.br;jogos_digital;;5;40361511183;Mud@r123
Thiago;Gomes Carvalho;72293023150;thiago_gomes86@gmail.com;jogos_digital;;5;72293023150;Mud@r123
Lorenzo;Machado;17652185947;lorenzo_machado73@outlook.com;jogos_digital;;5;17652185947;Mud@r123
Beatriz;Vieira;53687171213;beatriz_vieira60@yahoo.com.br;jogos_digital;;5;53687171213;Mud@r123
Lorena;Soares;42399739299;lorena_soares73@hotmail.com;jogos_digital;;5;42399739299;Mud@r123
Manuela;Freitas Araujo;25402461252;manuela_freitas87@hotmail.com;jogos_digital;;5;25402461252;Mud@r123
Lorena;Pereira Mendes;30867734728;lorena_pereira95@gmail.com;jogos_digital;;3;30867734728;Mud@r123
Gustavo;Silva;11406971103;gustavo_silva60@hotmail.com;jogos_digital;;3;11406971103;Mud@r123
Murilo;Vieira;80934686416;murilo_vieira66@gmail.com;jogos_digital;;3;80934686416;Mud@r123
Caio;Carvalho Pereira;16128541259;caio_carvalho73@outlook.com;jogos_digital;;3;16128541259;Mud@r123
Valentina;Machado Castro;83628905176;valentina_machado97@yahoo.com.br;jogos_digital;;3;83628905176;Mud@r123
Vinicius;Ferreira;86999914524;vinicius_ferreira68@hotmail.com;jogos_digital;;3;86999914524;Mud@r123
Vitor;Soares Alves;77454161839;vitor_soares42@gmail.com;jogos_digital;;3;77454161839;Mud@r123
Vitor;Mendes;40390772534;vitor_mendes85@gmail.com;jogos_digital;;3;40390772534;Mud@r123
Carolina;Dias Soares;00248447726;carolina_dias11@outlook.com;jogos_digital;;3;00248447726;Mud@r123
Clara;Lopes Carvalho;77642007868;clara_lopes39@outlook.com;jogos_digital;;3;77642007868;Mud@r123
Eduardo;Teixeira;75957866300;eduardo_teixeira28@gmail.com;jogos_digital;;3;75957866300;Mud@r123
Matheus;Carvalho Melo;27126742789;matheus_carvalho22@hotmail.com;jogos_digital;;3;27126742789;Mud@r123
Alice;Almeida Oliveira;99631536661;alice_almeida25@yahoo.com.br;jogos_digital;;10;99631536661;Mud@r123
Bianca;Moreira;36415733788;bianca_moreira11@yahoo.com.br;jogos_digital;;10;36415733788;Mud@r123
Gabriel;Almeida;18209844270;gabriel_almeida73@yahoo.com.br;jogos_digital;;10;18209844270;Mud@r123
Carolina;Rodrigues Borges;32200741545;carolina_rodrigues29@outlook.com;jogos_digital;;10;32200741545;Mud@r123
